r_mean,r_std,r_min,r_max,g_mean,g_std,g_min,g_max,b_mean,b_std,b_min,b_max,gray_mean,gray_std,gray_min,gray_max,gray_median,gray_q25,gray_q75,red_dominance,green_dominance,blue_dominance,dark_pixel_ratio,bright_pixel_ratio,rust_color_ratio,edge_mean,edge_std,edge_density_low,edge_density_high,r_hist_0,r_hist_1,r_hist_2,r_hist_3,r_hist_4,g_hist_0,g_hist_1,g_hist_2,g_hist_3,g_hist_4,b_hist_0,b_hist_1,b_hist_2,b_hist_3,b_hist_4,gray_hist_0,gray_hist_1,gray_hist_2,gray_hist_3,gray_hist_4,filename,original_filename,label,split
0.43975693,0.22814928,0.0,1.0,0.42638165,0.2147483,0.0,1.0,0.38842466,0.22155596,0.0,1.0,0.41818774,0.21861987,0.0,1.0,0.42352942,0.23137255,0.5803922,0.5954440369897959,0.17510363520408162,0.17506377551020408,0.2768056441326531,0.07376036352040816,0.06359614158163265,0.23923366,0.34772936,0.40270248724489793,0.32206632653061223,0.9659996667279321,1.2023676478996523,1.4513909735518613,1.0735212693439968,0.30672036266971336,0.9236487426141121,1.3122807521291664,1.6252788725458882,0.9039182617858902,0.23487326017300664,1.3028140749743127,1.2239915315060028,1.5628984572047644,0.7159797939512316,0.19431601923519853,1.045619404061914,1.2801936990358722,1.5671833739134997,0.8772122652961295,0.22979114890070146,abandoned_001.jpg,IMG_3082.jpg,abandoned,train
0.46333793,0.21933953,0.0,1.0,0.4446073,0.21026868,0.0,0.99607843,0.43080482,0.22311442,0.0,1.0,0.44625002,0.20919493,0.0,0.9816993,0.41699347,0.27973858,0.59771246,0.6244618941326531,0.07802535076530612,0.22935267857142858,0.18805803571428573,0.13083944515306123,0.12021683673469388,0.18796986,0.29533815,0.37828842474489793,0.26821588010204084,0.5768694110468331,1.5329041544538664,1.434948851297412,1.0430286017101658,0.41224890850052115,0.5074138955001682,1.9112722929483947,1.3528378892509487,0.8471181946248322,0.38135764390415633,0.6763193457894033,1.9680723558775184,1.1157723811095224,0.9015266800106877,0.33830917195051236,0.5446827087203299,1.800362696386791,1.4139228646568736,0.9127870442022659,0.3282445986465353,abandoned_002.jpg,IMG_3083.jpg,abandoned,train
0.46490312,0.2347062,0.0,1.0,0.45230228,0.22815326,0.0,1.0,0.42005518,0.22919899,0.0,1.0,0.4457535,0.22732635,0.0,1.0,0.42222223,0.275817,0.5816994,0.5993502869897959,0.15461575255102042,0.17769451530612246,0.21611926020408162,0.12220982142857142,0.10801977040816327,0.2124235,0.32122454,0.39096380739795916,0.2961575255102041,0.7597257539853265,1.2627550832242993,1.5965798955199397,0.8339644948612186,0.5469746818369255,0.6848891798453763,1.5400788992449135,1.5888072559087456,0.6418407589199557,0.5443838015804562,0.9035195975058965,1.6851681827972005,1.4040575913042037,0.48728478669749786,0.5199697376252645,0.7342155502838255,1.561902081317682,1.5537307284325865,0.6250996864935386,0.5250518488975697,active_001.jpg,IMG_3084.jpg,active,train
0.5266619,0.19682221,0.0,1.0,0.47960767,0.17568295,0.0,1.0,0.4421487,0.1585277,0.003921569,1.0,0.48280612,0.17296293,0.0013071896,0.99607843,0.48104575,0.3529412,0.6156863,0.7491230867346939,0.02361686862244898,0.21147560586734693,0.09516501913265306,0.05879304846938776,0.12181122448979592,0.21901119,0.3083086,0.4309231505102041,0.3251155931122449,0.24603395679299203,1.205955020295176,1.5423707166931488,1.6193998095339546,0.38624045669519463,0.26118064024075827,1.5044044737560958,1.8483934890774787,1.2413305905707015,0.14469069739974783,0.28888312707285696,1.7679766955938696,2.0889467201213643,0.7664023097117497,0.08779098099805635,0.2497209784217246,1.4725167191292194,1.8817759797153004,1.2687341317448961,0.12725208028889667,abandoned_003.jpg,IMG_3085.jpg,abandoned,train
0.55341625,0.26744926,0.0,1.0,0.5228881,0.24835221,0.0,1.0,0.45972833,0.21834408,0.0,1.0,0.5120109,0.2428383,0.0,1.0,0.5673203,0.29542485,0.72287583,0.7550821109693877,0.06929607780612244,0.14650430484693877,0.22142059948979592,0.19413663903061223,0.037029655612244895,0.16183223,0.262242,0.371273118622449,0.22923309948979592,0.8731265813771552,0.6556919545151427,0.8375517427190796,1.4804887680909458,1.1531410126101114,0.8616669195581215,0.7431839812726344,1.0450214308024972,1.661451789081264,0.6886759020176703,0.9471659616514334,0.8029735211980275,1.5769489980403848,1.5860173139217535,0.08689413783235544,0.9086017083995549,0.6950534016326931,1.1247408114301312,1.8156091643411882,0.4559949251385992,active_002.jpg,IMG_3086.jpg,active,train
0.5427663,0.29217112,0.0,1.0,0.51823527,0.2723175,0.0,1.0,0.46788186,0.2442586,0.0,1.0,0.50962776,0.2684397,0.0,1.0,0.5633987,0.24183007,0.76209146,0.7177933673469388,0.08412388392857142,0.1736686862244898,0.25771285076530615,0.2714245854591837,0.030412946428571428,0.17602518,0.28444692,0.37137276785714285,0.24204799107142858,0.9972895259555546,0.8282844264331104,0.6680484096595729,1.072425127697029,1.4339525727151319,0.9701849345227097,0.8937539726514157,0.7785594010546305,1.3141741854737425,1.043327549432066,1.1118861441458912,0.8325693434610969,1.021105616614207,1.9277145600538028,0.10672433671840904,1.0335618468436263,0.8454240945450564,0.7965959109216327,1.4311623939773956,0.8932557930381126,active_003.jpg,IMG_3087.jpg,active,train
0.5642001,0.230207,0.0,1.0,0.5485608,0.22246169,0.0,1.0,0.5184907,0.2048743,0.0,1.0,0.54375046,0.21750411,0.0,1.0,0.6209151,0.42875817,0.6797386,0.48800223214285715,0.23710538903061223,0.13564253826530612,0.15443638392857142,0.10610650510204081,0.015963807397959183,0.1536968,0.25977474,0.35012755102040816,0.20430086096938777,0.6360610555729721,0.5219626835486806,0.6496133028894325,2.612504141686769,0.5798589312459591,0.6462252773602889,0.543187970222195,0.7218589915832259,2.7895808422923833,0.29914702038157226,0.6422393080319294,0.5628188691643657,1.2575732294009263,2.4277544495523804,0.10961416469677865,0.6394491295020777,0.5448820071867478,0.8295798046563163,2.7580916822522177,0.2279974625692996,active_004.jpg,IMG_3088.jpg,active,train
0.53594166,0.24882524,0.0,1.0,0.50101703,0.23988156,0.0,1.0,0.45624682,0.21901199,0.0,1.0,0.4977352,0.23478186,0.0,1.0,0.56143796,0.2522876,0.71111107,0.8069794323979592,0.04635682397959184,0.1298828125,0.2469108737244898,0.1658561862244898,0.03557477678571429,0.13675557,0.2235964,0.3580994897959184,0.19812260841836735,0.36900111057288354,1.578543503263583,0.5420917882679112,1.5952846933006632,0.9150789767368348,0.5631178168639926,1.4321587796795794,0.6854870241718678,1.885164334303326,0.4340720921992435,0.9450733277540446,1.0652503030040845,1.1450692534901779,1.7836217580978557,0.06098533526766231,0.5282405852408468,1.460160214211305,0.7271404005498066,1.9972697300159403,0.2871891115055601,abandoned_004.jpg,IMG_3089.jpg,abandoned,train
0.5425106,0.20354162,0.0,1.0,0.5141503,0.18936853,0.0,1.0,0.4938618,0.16950743,0.0,1.0,0.51684093,0.18195137,0.0,1.0,0.5555555,0.42352942,0.63529414,0.6005859375,0.01175860969387755,0.2875876913265306,0.11941964285714286,0.06614716198979592,0.04528061224489796,0.15321371,0.24862269,0.37013711734693877,0.21659757653061223,0.4617745466904516,0.5786630972445949,1.9095781137091878,1.5628986900947968,0.487085488216231,0.4675542022165729,0.704420429554338,2.083764960380568,1.6129226088927813,0.1313376991548675,0.38255340628930595,0.8882732648249213,2.357999629739629,1.2463130526023734,0.12486049851369423,0.4236088903714091,0.7035235864554571,2.1455474803669845,1.6325535092975678,0.09476642784239683,abandoned_005.jpg,IMG_3090.jpg,abandoned,train
0.5302666,0.18553776,0.0,1.0,0.51941025,0.16150926,0.0,1.0,0.48246905,0.14976437,0.0,1.0,0.5107153,0.16118886,0.0,1.0,0.52287585,0.4379085,0.6143791,0.8257533482142857,0.05921157525510204,0.08318718112244898,0.09086017219387756,0.05412946428571429,0.02668606505102041,0.13351013,0.25291836,0.269351881377551,0.18795838647959184,0.3802614739254992,0.5254504067109952,2.329300652713681,1.4524873314729507,0.3125000186264526,0.246532202959037,0.6344666678416283,2.5735409051115945,1.458964532114124,0.0864955408698217,0.2618781848732212,0.8854830862950697,2.851462595824683,0.933414437013387,0.0677614836307359,0.27652662215494245,0.6684470563658933,2.6294441207767227,1.365991790603129,0.05959024589879421,active_005.jpg,IMG_3091.jpg,active,test
