filename,original_filename,label,split,usable_for_main_dataset,notes,flat_tire,rust,dust_debris,damaged_seat,missing_wheel,missing_seat,missing_handlebar_or_grip,missing_major_part,broken_chain,weathered_lock,bent_wheel,overgrown_or_buried,surface_wear,visible_warning_tag,occluded_or_cluttered,bad_angle_or_crop
abandoned_001.jpg,IMG_3082.jpg,abandoned,train,1,,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
abandoned_002.jpg,IMG_3083.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
active_001.jpg,IMG_3084.jpg,active,train,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abandoned_003.jpg,IMG_3085.jpg,abandoned,train,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
active_002.jpg,IMG_3086.jpg,active,train,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active_003.jpg,IMG_3087.jpg,active,train,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
active_004.jpg,IMG_3088.jpg,active,train,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abandoned_004.jpg,IMG_3089.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
abandoned_005.jpg,IMG_3090.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
active_005.jpg,IMG_3091.jpg,active,test,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abandoned_006.jpg,IMG_3092.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
abandoned_007.jpg,IMG_3093.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
active_006.jpg,IMG_3094.jpg,active,test,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abandoned_008.jpg,IMG_3095.jpg,abandoned,train,1,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
active_007.jpg,IMG_3096.jpg,active,train,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abandoned_009.jpg,IMG_3097.jpg,abandoned,train,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
active_008.jpg,IMG_3098.jpg,active,train,1,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
